file,mjd,jd,ra,dec,x,y
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127111927-s0092-2-3-0289-s_ffic.fits,60802.47549755787,2460802.975497558,288.27186,-18.70944,1635.3472811168194,304.6906241053109
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127112247-s0092-2-3-0289-s_ffic.fits,60802.47781258101,2460802.977812581,288.27159,-18.70944,1635.3380973793332,304.64410966708374
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127112607-s0092-2-3-0289-s_ffic.fits,60802.48012761574,2460802.980127616,288.27133,-18.70944,1635.3321642249061,304.6021426101877
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127112927-s0092-2-3-0289-s_ffic.fits,60802.482442638895,2460802.982442639,288.27106,-18.70943,1635.3245058257332,304.55664275812495
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127113247-s0092-2-3-0289-s_ffic.fits,60802.48475766782,2460802.984757668,288.27079,-18.70943,1635.3175858772424,304.50991847414804
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127113607-s0092-2-3-0289-s_ffic.fits,60802.487072696764,2460802.987072697,288.27052,-18.70942,1635.3101996982055,304.4647305772854
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127113927-s0092-2-3-0289-s_ffic.fits,60802.48938771991,2460802.98938772,288.27025,-18.70942,1635.3044168740103,304.41965522958094
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127114247-s0092-2-3-0289-s_ffic.fits,60802.49170275463,2460802.9917027545,288.26998,-18.70941,1635.2952978153671,304.373290845583
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127114607-s0092-2-3-0289-s_ffic.fits,60802.494017777775,2460802.994017778,288.26971,-18.70941,1635.2860696500647,304.32724137073757
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127114927-s0092-2-3-0289-s_ffic.fits,60802.4963328125,2460802.9963328126,288.26944,-18.7094,1635.2794619098593,304.28202381750873
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127115247-s0092-2-3-0289-s_ffic.fits,60802.498647835644,2460802.9986478356,288.26917,-18.7094,1635.2740303525864,304.2372092887752
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127115607-s0092-2-3-0289-s_ffic.fits,60802.50096287037,2460803.00096287,288.2689,-18.7094,1635.2678985651216,304.1911289484078
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127115927-s0092-2-3-0289-s_ffic.fits,60802.50327789351,2460803.0032778936,288.26863,-18.70939,1635.2595943721699,304.1475375623919
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127120247-s0092-2-3-0289-s_ffic.fits,60802.50559292824,2460803.0055929283,288.26837,-18.70939,1635.2540643085047,304.1041610255991
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127120607-s0092-2-3-0289-s_ffic.fits,60802.50790795139,2460803.0079079513,288.2681,-18.70938,1635.2455469441898,304.0586504329681
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127120927-s0092-2-3-0289-s_ffic.fits,60802.51022298032,2460803.0102229803,288.26783,-18.70938,1635.239802829583,304.0111867013838
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127121247-s0092-2-3-0289-s_ffic.fits,60802.512538009265,2460803.0125380093,288.26756,-18.70937,1635.2335078667313,303.9672633312311
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127121607-s0092-2-3-0289-s_ffic.fits,60802.51485303241,2460803.0148530323,288.26729,-18.70937,1635.2264964251306,303.9224079085451
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127121927-s0092-2-3-0289-s_ffic.fits,60802.517168067134,2460803.017168067,288.26702,-18.70936,1635.218728555257,303.8775521733712
/home/adina/.eleanor/ffis/s0092/2-3/raw/tess2025127122247-s0092-2-3-0289-s_ffic.fits,60802.51948309028,2460803.0194830904,288.26675,-18.70936,1635.2120148871932,303.831161736976
