file,mjd,jd,ra,dec,x,y
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139030247-s0092-1-2-0289-s_ffic.fits,60814.13240911458,2460814.6324091144,286.45369,-18.69408,554.7025041254846,19.81309461770457
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139030607-s0092-1-2-0289-s_ffic.fits,60814.13472407407,2460814.634724074,286.45327,-18.69409,554.7080496779753,19.89196916285035
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139030927-s0092-1-2-0289-s_ffic.fits,60814.13703903936,2460814.6370390393,286.45286,-18.69411,554.7133642335325,19.96332632915022
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139031247-s0092-1-2-0289-s_ffic.fits,60814.13935400463,2460814.6393540045,286.45244,-18.69413,554.7176038713607,20.035751105979116
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139031607-s0092-1-2-0289-s_ffic.fits,60814.14166896991,2460814.6416689698,286.45203,-18.69414,554.7213675687773,20.104551952122655
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139031927-s0092-1-2-0289-s_ffic.fits,60814.14398393518,2460814.643983935,286.45161,-18.69416,554.7300663204576,20.17708976880234
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139032247-s0092-1-2-0289-s_ffic.fits,60814.14629889467,2460814.6462988947,286.4512,-18.69417,554.7312456688883,20.24842725617799
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139032607-s0092-1-2-0289-s_ffic.fits,60814.148613854166,2460814.6486138543,286.45078,-18.69419,554.7366696018781,20.318084378937876
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139032927-s0092-1-2-0289-s_ffic.fits,60814.15092881945,2460814.6509288196,286.45037,-18.69421,554.7382941266736,20.391384918105537
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139033247-s0092-1-2-0289-s_ffic.fits,60814.15324378472,2460814.653243785,286.44995,-18.69422,554.7457143216564,20.464192400785137
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139033607-s0092-1-2-0289-s_ffic.fits,60814.155558750004,2460814.65555875,286.44953,-18.69424,554.7516710388144,20.536792307855137
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139033927-s0092-1-2-0289-s_ffic.fits,60814.157873715274,2460814.6578737153,286.44912,-18.69425,554.7535232359626,20.613023279632706
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139034247-s0092-1-2-0289-s_ffic.fits,60814.16018868056,2460814.6601886805,286.4487,-18.69427,554.7601473296462,20.689235411845438
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139034607-s0092-1-2-0289-s_ffic.fits,60814.16250363426,2460814.662503634,286.44829,-18.69429,554.761234617324,20.759947287093837
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139034927-s0092-1-2-0289-s_ffic.fits,60814.164818599544,2460814.6648185994,286.44787,-18.6943,554.7668339476241,20.831233497216473
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139035247-s0092-1-2-0289-s_ffic.fits,60814.16713356481,2460814.6671335646,286.44746,-18.69432,554.7710681896361,20.90746482534319
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139035607-s0092-1-2-0289-s_ffic.fits,60814.1694485301,2460814.6694485303,286.44704,-18.69433,554.770169233365,20.976846974303115
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139035927-s0092-1-2-0289-s_ffic.fits,60814.17176349537,2460814.6717634955,286.44663,-18.69435,554.7756894829149,21.054556398560266
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139040247-s0092-1-2-0289-s_ffic.fits,60814.17407846065,2460814.674078461,286.44621,-18.69437,554.7844124965783,21.130269405745167
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139040607-s0092-1-2-0289-s_ffic.fits,60814.17639341435,2460814.6763934144,286.4458,-18.69438,554.7838295758058,21.197273811544108
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139040927-s0092-1-2-0289-s_ffic.fits,60814.17870837963,2460814.6787083796,286.44538,-18.6944,554.7908389356536,21.274934837409063
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139041247-s0092-1-2-0289-s_ffic.fits,60814.18102334491,2460814.681023345,286.44497,-18.69442,554.7913511949505,21.34190620139654
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139041607-s0092-1-2-0289-s_ffic.fits,60814.18333831019,2460814.68333831,286.44455,-18.69443,554.8009398764789,21.41457387790195
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139041927-s0092-1-2-0289-s_ffic.fits,60814.18565327546,2460814.6856532753,286.44414,-18.69445,554.7987080193124,21.48514993829655
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139042247-s0092-1-2-0289-s_ffic.fits,60814.187968240745,2460814.6879682406,286.44372,-18.69446,554.8075255813561,21.558964373591202
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139042607-s0092-1-2-0289-s_ffic.fits,60814.19028320023,2460814.6902832002,286.44331,-18.69448,554.8152425872851,21.622828118284822
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139042927-s0092-1-2-0289-s_ffic.fits,60814.192598159716,2460814.69259816,286.44289,-18.6945,554.810111994846,21.702391701893468
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139043247-s0092-1-2-0289-s_ffic.fits,60814.194913125,2460814.694913125,286.44247,-18.69451,554.820161414449,21.773178605277707
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139043607-s0092-1-2-0289-s_ffic.fits,60814.197228090285,2460814.6972280904,286.44206,-18.69453,554.8252035462824,21.841378948107177
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139043927-s0092-1-2-0289-s_ffic.fits,60814.199543055554,2460814.6995430556,286.44164,-18.69454,554.827748324695,21.912913492765732
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139044247-s0092-1-2-0289-s_ffic.fits,60814.20185802084,2460814.701858021,286.44123,-18.69456,554.8331798542548,21.986713073236935
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139044607-s0092-1-2-0289-s_ffic.fits,60814.20417298611,2460814.704172986,286.44081,-18.69458,554.8350865363823,22.058428077700455
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139044927-s0092-1-2-0289-s_ffic.fits,60814.2064879456,2460814.7064879457,286.4404,-18.69459,554.8423230871939,22.131634269434606
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139045247-s0092-1-2-0289-s_ffic.fits,60814.208802905094,2460814.708802905,286.43998,-18.69461,554.842796113727,22.204469824733565
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139045607-s0092-1-2-0289-s_ffic.fits,60814.21111787036,2460814.71111787,286.43957,-18.69463,554.8501554004978,22.277998077688224
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139045927-s0092-1-2-0289-s_ffic.fits,60814.21343283565,2460814.7134328354,286.43915,-18.69464,554.8554423746402,22.347307077883677
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139050247-s0092-1-2-0289-s_ffic.fits,60814.21574780093,2460814.715747801,286.43874,-18.69466,554.8542727877577,22.420622219535915
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139050607-s0092-1-2-0289-s_ffic.fits,60814.2180627662,2460814.7180627664,286.43832,-18.69467,554.8640356080496,22.494802416878848
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139050927-s0092-1-2-0289-s_ffic.fits,60814.220377731486,2460814.7203777316,286.4379,-18.69469,554.8655586515792,22.56694727400884
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139051247-s0092-1-2-0289-s_ffic.fits,60814.22269268519,2460814.722692685,286.43749,-18.69471,554.8647085951427,22.630759207146475
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139051607-s0092-1-2-0289-s_ffic.fits,60814.22500765046,2460814.7250076504,286.43707,-18.69472,554.8740347542154,22.7060946472971
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139051927-s0092-1-2-0289-s_ffic.fits,60814.22732261574,2460814.7273226157,286.43666,-18.69474,554.8778414614569,22.778605471123548
