file,x,y
2-3/raw/tess2025127111927-s0092-2-3-0289-s_ffic.fits,1896.649632292679,1361.4033937207369
2-3/raw/tess2025127112247-s0092-2-3-0289-s_ffic.fits,1896.6109257951473,1361.507669694991
2-3/raw/tess2025127112607-s0092-2-3-0289-s_ffic.fits,1896.574222007428,1361.6128240032992
2-3/raw/tess2025127112927-s0092-2-3-0289-s_ffic.fits,1896.536651877783,1361.717978751164
2-3/raw/tess2025127113247-s0092-2-3-0289-s_ffic.fits,1896.5006785096493,1361.8218762023018
2-3/raw/tess2025127113607-s0092-2-3-0289-s_ffic.fits,1896.463776645187,1361.9273802685464
2-3/raw/tess2025127113927-s0092-2-3-0289-s_ffic.fits,1896.4290502023468,1362.0323762934854
2-3/raw/tess2025127114247-s0092-2-3-0289-s_ffic.fits,1896.390385269606,1362.1352838862997
2-3/raw/tess2025127114607-s0092-2-3-0289-s_ffic.fits,1896.3499660284288,1362.239973628237
2-3/raw/tess2025127114927-s0092-2-3-0289-s_ffic.fits,1896.316125704866,1362.3452343578008
2-3/raw/tess2025127115247-s0092-2-3-0289-s_ffic.fits,1896.279993878075,1362.4512690878205
2-3/raw/tess2025127115607-s0092-2-3-0289-s_ffic.fits,1896.2424315498915,1362.556006231075
2-3/raw/tess2025127115927-s0092-2-3-0289-s_ffic.fits,1896.2063021943695,1362.661222818681
2-3/raw/tess2025127120247-s0092-2-3-0289-s_ffic.fits,1896.1699498536534,1362.7670192531507
2-3/raw/tess2025127120607-s0092-2-3-0289-s_ffic.fits,1896.1317797222637,1362.871978102918
2-3/raw/tess2025127120927-s0092-2-3-0289-s_ffic.fits,1896.0966733642608,1362.9737444458144
2-3/raw/tess2025127121247-s0092-2-3-0289-s_ffic.fits,1896.0613784097682,1363.0803982838247
2-3/raw/tess2025127121607-s0092-2-3-0289-s_ffic.fits,1896.0230689494833,1363.1862949023837
2-3/raw/tess2025127121927-s0092-2-3-0289-s_ffic.fits,1895.9863147123415,1363.2904382856666
2-3/raw/tess2025127122247-s0092-2-3-0289-s_ffic.fits,1895.9476738684666,1363.3948064559563
2-3/raw/tess2025127122607-s0092-2-3-0289-s_ffic.fits,1895.912923967607,1363.4988266948035
2-3/raw/tess2025127122927-s0092-2-3-0289-s_ffic.fits,1895.8755489192426,1363.6026321435988
2-3/raw/tess2025127123247-s0092-2-3-0289-s_ffic.fits,1895.8374412511027,1363.708387363365
2-3/raw/tess2025127123607-s0092-2-3-0289-s_ffic.fits,1895.8019720676,1363.813032685739
2-3/raw/tess2025127123927-s0092-2-3-0289-s_ffic.fits,1895.7655462496673,1363.9175845085397
2-3/raw/tess2025127124247-s0092-2-3-0289-s_ffic.fits,1895.7254080773178,1364.022120310136
2-3/raw/tess2025127124607-s0092-2-3-0289-s_ffic.fits,1895.6904800533373,1364.1247585897188
2-3/raw/tess2025127124927-s0092-2-3-0289-s_ffic.fits,1895.6513212438597,1364.2278735359598
2-3/raw/tess2025127125247-s0092-2-3-0289-s_ffic.fits,1895.6142284390571,1364.3326228245437
2-3/raw/tess2025127125607-s0092-2-3-0289-s_ffic.fits,1895.5776634344772,1364.4353232589358
2-3/raw/tess2025127125927-s0092-2-3-0289-s_ffic.fits,1895.5404406032003,1364.5419783239981
2-3/raw/tess2025127130247-s0092-2-3-0289-s_ffic.fits,1895.502552211401,1364.6431631741812
2-3/raw/tess2025127130607-s0092-2-3-0289-s_ffic.fits,1895.4684788502773,1364.751293004367
2-3/raw/tess2025127130927-s0092-2-3-0289-s_ffic.fits,1895.4296982843457,1364.853804867827
2-3/raw/tess2025127131247-s0092-2-3-0289-s_ffic.fits,1895.3920191696018,1364.9561133432524
2-3/raw/tess2025127131607-s0092-2-3-0289-s_ffic.fits,1895.3532669772392,1365.0647405183122
2-3/raw/tess2025127131927-s0092-2-3-0289-s_ffic.fits,1895.317665037248,1365.1678674523823
2-3/raw/tess2025127132247-s0092-2-3-0289-s_ffic.fits,1895.2812395005044,1365.2684206175365
2-3/raw/tess2025127132607-s0092-2-3-0289-s_ffic.fits,1895.2445173547958,1365.3751379909438
2-3/raw/tess2025127132927-s0092-2-3-0289-s_ffic.fits,1895.205506328477,1365.477160988856
2-3/raw/tess2025127133247-s0092-2-3-0289-s_ffic.fits,1895.167646772398,1365.5826322254695
2-3/raw/tess2025127133607-s0092-2-3-0289-s_ffic.fits,1895.1325932559776,1365.6863792990337
2-3/raw/tess2025127133927-s0092-2-3-0289-s_ffic.fits,1895.093274773515,1365.7904225221132
2-3/raw/tess2025127134247-s0092-2-3-0289-s_ffic.fits,1895.0558820655901,1365.8917154178794
2-3/raw/tess2025127134607-s0092-2-3-0289-s_ffic.fits,1895.0153880988228,1365.9955729561543
2-3/raw/tess2025127134927-s0092-2-3-0289-s_ffic.fits,1894.9795529146036,1366.0995985094526
2-3/raw/tess2025127135247-s0092-2-3-0289-s_ffic.fits,1894.9405189591446,1366.2021856009246
2-3/raw/tess2025127135607-s0092-2-3-0289-s_ffic.fits,1894.9057512572178,1366.3062250781957
2-3/raw/tess2025127135927-s0092-2-3-0289-s_ffic.fits,1894.8660930724482,1366.409855116007
2-3/raw/tess2025127140247-s0092-2-3-0289-s_ffic.fits,1894.8258882127773,1366.5134594923397
2-3/raw/tess2025127140607-s0092-2-3-0289-s_ffic.fits,1894.792355248084,1366.6172666531806
2-3/raw/tess2025127140927-s0092-2-3-0289-s_ffic.fits,1894.7534559181524,1366.7245842092225
2-3/raw/tess2025127141247-s0092-2-3-0289-s_ffic.fits,1894.7150793328499,1366.8270945452305
2-3/raw/tess2025127141607-s0092-2-3-0289-s_ffic.fits,1894.6801280668328,1366.928983056362
2-3/raw/tess2025127141927-s0092-2-3-0289-s_ffic.fits,1894.6377925221072,1367.0328517204941
2-3/raw/tess2025127142247-s0092-2-3-0289-s_ffic.fits,1894.6029135531371,1367.1388427624556
2-3/raw/tess2025127142607-s0092-2-3-0289-s_ffic.fits,1894.564710611033,1367.2396639416743
2-3/raw/tess2025127142927-s0092-2-3-0289-s_ffic.fits,1894.5268479288757,1367.3449734638566
2-3/raw/tess2025127143247-s0092-2-3-0289-s_ffic.fits,1894.4893439589032,1367.4460460736727
2-3/raw/tess2025127143607-s0092-2-3-0289-s_ffic.fits,1894.4484685729929,1367.5494417455348
2-3/raw/tess2025127143927-s0092-2-3-0289-s_ffic.fits,1894.4113946272055,1367.6516427714628
2-3/raw/tess2025127144247-s0092-2-3-0289-s_ffic.fits,1894.3715841068197,1367.754980975365
2-3/raw/tess2025127144607-s0092-2-3-0289-s_ffic.fits,1894.337222316447,1367.8570518357928
2-3/raw/tess2025127144927-s0092-2-3-0289-s_ffic.fits,1894.2964129639784,1367.961789981201
2-3/raw/tess2025127145247-s0092-2-3-0289-s_ffic.fits,1894.2595711162205,1368.0662331862886
2-3/raw/tess2025127145607-s0092-2-3-0289-s_ffic.fits,1894.2202826306209,1368.167513111384
2-3/raw/tess2025127145927-s0092-2-3-0289-s_ffic.fits,1894.1820491782685,1368.271631649384
2-3/raw/tess2025127150247-s0092-2-3-0289-s_ffic.fits,1894.1446572486261,1368.375646322569
2-3/raw/tess2025127150607-s0092-2-3-0289-s_ffic.fits,1894.106662880097,1368.477985131796
2-3/raw/tess2025127150927-s0092-2-3-0289-s_ffic.fits,1894.0702220667342,1368.5809536095153
2-3/raw/tess2025127151247-s0092-2-3-0289-s_ffic.fits,1894.0299280134275,1368.6869598516807
2-3/raw/tess2025127151607-s0092-2-3-0289-s_ffic.fits,1893.9949814446345,1368.7876384123533
2-3/raw/tess2025127151927-s0092-2-3-0289-s_ffic.fits,1893.9531647075098,1368.8916332950137
2-3/raw/tess2025127152247-s0092-2-3-0289-s_ffic.fits,1893.917035851236,1368.9926884998079
2-3/raw/tess2025127152607-s0092-2-3-0289-s_ffic.fits,1893.8757845716596,1369.0951480497793
2-3/raw/tess2025127152927-s0092-2-3-0289-s_ffic.fits,1893.8363245344233,1369.197151836032
