time_tbjd,mag
3802.9754975577816,20.047073689692944
3802.97781258123,20.033730609968746
3802.980127615854,20.05011675334339
3802.982442638837,19.90788482615852
3802.984757667873,19.976596913485846
3802.9870726969093,20.04481629281888
3802.989387719892,19.930179981226527
3802.991702754516,20.00735229449808
3802.9940177779645,19.8941535073936
3802.9963328125887,19.87925783608532
3802.9986478355713,19.948048561229548
3803.0009628701955,19.794581979164615
3803.003277893644,19.90918503463943
3803.005592928268,19.804191309875264
3803.0079079512507,19.91572378136348
3803.010222980287,19.88984480288918
3803.012538009323,19.85504657466337
3803.014853032306,19.85683612745507
3803.01716806693,19.78348275367068
3803.0194830903783,19.852917150287247
3803.0217981250025,19.7401092415929
3803.024113147985,19.872660444879443
3803.026428183075,19.80438251726853
3803.0287432060577,19.80016079913013
3803.031058240682,19.77454692304512
3803.0333732636645,19.750925645795064
3803.0356882987544,19.7582033814809
3803.038003321737,19.802076371411662
3803.0403183507733,19.823077477557167
3803.0426333798096,19.796376759803213
3803.04494840838,19.765194744692447
3803.0472634374164,19.83566883790747
3803.0495784608647,19.85930525579249
3803.051893495489,19.88713393180229
3803.0542085184716,19.806702271359672
3803.0565235530958,19.847794261358136
3803.058838576544,19.865537657929995
3803.0611536111683,19.921935996611047
3803.063468634151,19.922746287220775
3803.065783668775,19.853945838155347
3803.0680986922234,19.932838617168404
3803.0704137268476,19.911848080905447
3803.0727287498303,19.907363838445853
3803.07504378492,19.921676538487432
3803.077358807903,19.979347316808582
3803.079673842527,19.960430402003364
3803.0819888655096,19.906053274555692
3803.0843039005995,19.92262087677354
3803.086618923582,20.011101853895592
3803.0889339582063,19.982743524548113
3803.0912489816546,19.983069954564307
3803.093564016279,19.917504357487815
3803.0958790392615,19.990626428180992
3803.0981940682977,19.96780012731384
3803.100509097334,19.94813021725564
3803.1028241263703,19.971570495993376
3803.105139154941,19.948384446089754
3803.107454183977,19.970721795720845
3803.1097692130134,19.90294380861416
3803.1120842420496,19.91378735652773
3803.11439927062,19.952611861592008
3803.1167142996565,19.82914276712242
3803.1190293286927,19.964053827322104
3803.121344357729,19.893167020165766
3803.123659386765,19.915478324886934
3803.125974415336,19.9108785374137
3803.128289444372,19.98847804472962
3803.1306044734083,19.89742686433703
3803.1329195024446,19.994243762618616
3803.135234531015,19.97198078534245
3803.1375495600514,19.947359992798418
3803.1398645890877,19.967083205899144
3803.142179618124,19.954040517603627
3803.14449464716,19.886784563065472
3803.1468096757308,19.924551637907697
3803.149124704767,19.91114905046084
3803.1514397338033,19.89321617984192
3803.1537547628395,19.9837886027151
3803.156069791876,19.861204476366925
3803.1583848265,19.990953705746506
3803.1606998494826,19.98870312533371
3803.163014884107,19.866457252108365
